Gender,Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Segmentation,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Category_Cat_2,Category_Cat_3,Category_Cat_4,Category_Cat_5,Category_Cat_6,Category_Cat_7
0,0,0.057553956834532405,0,0.1,0,0.5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,0.2877697841726619,1,0.1,1,0.33333333333333337,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0.7050359712230216,1,0.1,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0.7050359712230216,1,0.0,2,0.16666666666666666,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,0.31654676258992803,1,0.1,2,0.8333333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,1,0.5467625899280577,0,0.0,1,0.16666666666666666,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0.20143884892086333,1,0.1,0,0.33333333333333337,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0.21582733812949645,1,0.1,0,0.33333333333333337,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1,0.6187050359712232,1,0.0,0,0.33333333333333337,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0.5323741007194245,1,0.1,1,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0.11510791366906475,1,0.1,0,0.33333333333333337,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0.014388489208633115,0,0.4,0,0.5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0.014388489208633115,0,0.0,0,0.33333333333333337,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0.7482014388489209,0,0.1,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,0.5755395683453237,0,0.0,0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0.33093525179856115,0,0.1,0,0.16666666666666666,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0.20143884892086333,0,0.9,0,0.6666666666666666,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0.18705035971223022,0,0.1,0,0.8333333333333334,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,0.5755395683453237,1,0.1,1,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,0.8776978417266188,1,0.0,2,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0.44604316546762596,1,1.0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0.0,0,0.30000000000000004,0,0.5,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,0.21582733812949645,1,1.0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0.2589928057553957,1,0.5,0,0.16666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0.5755395683453237,0,0.1,1,0.33333333333333337,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0.5467625899280577,0,0.1,1,0.33333333333333337,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0.18705035971223022,0,0.9,0,0.9999999999999999,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1,0.44604316546762596,1,0.1,1,0.33333333333333337,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0.24460431654676257,1,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0.24460431654676257,0,0.5,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0.3884892086330936,1,0.0,0,0.33333333333333337,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0.34532374100719426,0,0.1,0,0.16666666666666666,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0.014388489208633115,0,0.1,0,0.33333333333333337,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0.11510791366906475,0,0.9,0,0.33333333333333337,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,0.9352517985611513,0,0.1,2,0.16666666666666666,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0.12949640287769787,1,0.30000000000000004,0,0.5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0.20143884892086333,0,0.5,0,0.0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0.14388489208633098,0,0.1,1,0.6666666666666666,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,1,0.14388489208633098,1,0.8,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0.5467625899280577,1,0.1,1,0.16666666666666666,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0.4172661870503597,1,0.4,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0.057553956834532405,0,0.0,0,0.16666666666666666,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0.12949640287769787,1,1.0,0,0.33333333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0.44604316546762596,1,0.1,0,0.16666666666666666,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0.31654676258992803,0,0.8,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0.8776978417266188,0,0.1,2,0.16666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0.33093525179856115,1,0.0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0.15827338129496404,1,0.1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0.014388489208633115,0,0.0,0,0.5,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0.3884892086330936,1,0.1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0.6187050359712232,0,0.1,1,0.16666666666666666,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0.2589928057553957,1,0.1,1,0.16666666666666666,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0.31654676258992803,1,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0.5611510791366907,1,0.0,1,0.16666666666666666,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
